common_name,Species ID
Moose,ACAD-1000
Northern WhiteTailed Deer,ACAD-1001
Virginia Deer,ACAD-1001
WhiteTailed Deer,ACAD-1001
Coyote,ACAD-1002
Eastern Coyote,ACAD-1002
Eastern Timber Wolf,ACAD-1003
Gray Wolf,ACAD-1003
Timber Wolf,ACAD-1003
Black Fox,ACAD-1004
Cross Fox,ACAD-1004
Eastern Red Fox,ACAD-1004
Fox,ACAD-1004
Red Fox,ACAD-1004
Silver Fox,ACAD-1004
Canada Lynx,ACAD-1005
Bay Lynx,ACAD-1006
Bobcat,ACAD-1006
Red Lynx,ACAD-1006
Wild Cat,ACAD-1006
Eastern Skunk,ACAD-1007
Polecat,ACAD-1007
Striped Skunk,ACAD-1007
Otter,ACAD-1008
River Otter,ACAD-1008
Blackcat,ACAD-1009
Fisher,ACAD-1009
Pekan,ACAD-1009
Weasel,ACAD-1010
Bonaparte Weasel,ACAD-1011
Bonapartes Weasel,ACAD-1011
Ermine,ACAD-1011
ShortTailed Weasel,ACAD-1011
LongTailed Weasel,ACAD-1012
New York Weasel,ACAD-1012
Northern LongTailed Weasel,ACAD-1012
Ancient Sea Mink,ACAD-1013
Big Sea Mink,ACAD-1013
Sea Mink,ACAD-1013
American Mink,ACAD-1014
Mink,ACAD-1014
Walrus,ACAD-1015
Gray Seal,ACAD-1016
Common Seal,ACAD-1017
Hair Seal,ACAD-1017
Harbor Seal,ACAD-1017
Common Raccoon,ACAD-1018
Raccoon,ACAD-1018
Black Bear,ACAD-1019
Big Brown Bat,ACAD-1020
Common Brown Bat,ACAD-1020
SilverHaired Bat,ACAD-1021
Eastern Red Bat,ACAD-1022
New York Bat,ACAD-1022
Northern Red Bat,ACAD-1022
Red Bat,ACAD-1022
Hoary Bat,ACAD-1023
Keens Myotis,ACAD-1024
Northern LongEared Bat,ACAD-1024
Northern Myotis,ACAD-1024
Says Bat,ACAD-1024
Eastern SmallFooted Myotis,ACAD-1025
SmallFooted Myotis,ACAD-1025
Little Brown Bat,ACAD-1026
Little Brown Myotis,ACAD-1026
Eastern Pipistrelle,ACAD-1027
Northern Georgian Bat,ACAD-1027
Snowshoe Hare,ACAD-1028
Varying Hare,ACAD-1028
American Beaver,ACAD-1029
Beaver,ACAD-1029
Canadian Beaver,ACAD-1029
Boreal Redback Vole,ACAD-1030
RedBacked Mouse,ACAD-1030
RedBacked Vole,ACAD-1030
Southern RedBacked Vole,ACAD-1030
WhiteMountain RedBacked Mouse,ACAD-1030
Field Mouse,ACAD-1031
Meadow Mouse,ACAD-1031
Meadow Vole,ACAD-1031
Common Muskrat,ACAD-1032
Muskrat,ACAD-1032
Musquash,ACAD-1032
Water Rat,ACAD-1032
