Species ID,common_name
ACAD-1000,Moose
ACAD-1001,Northern White-Tailed Deer
ACAD-1001,Virginia Deer
ACAD-1001,White-Tailed Deer
ACAD-1002,Coyote
ACAD-1002,Eastern Coyote
ACAD-1003,Eastern Timber Wolf
ACAD-1003,Gray Wolf
ACAD-1003,Timber Wolf
ACAD-1004,Black Fox
ACAD-1004,Cross Fox
ACAD-1004,Eastern Red Fox
ACAD-1004,Fox
ACAD-1004,Red Fox
ACAD-1004,Silver Fox
ACAD-1005,Canada Lynx
ACAD-1006,Bay Lynx
ACAD-1006,Bobcat
ACAD-1006,Red Lynx
ACAD-1006,Wild Cat
ACAD-1007,Eastern Skunk
ACAD-1007,Polecat
ACAD-1007,Striped Skunk
ACAD-1008,Otter
ACAD-1008,River Otter
ACAD-1009,Blackcat
ACAD-1009,Fisher
ACAD-1009,Pekan
ACAD-1010,Weasel
ACAD-1011,Bonaparte Weasel
ACAD-1011,Bonaparte's Weasel
ACAD-1011,Ermine
ACAD-1011,Short-Tailed Weasel
ACAD-1012,Long-Tailed Weasel
ACAD-1012,New York Weasel
ACAD-1012,Northern Long-Tailed Weasel
ACAD-1013,Ancient Sea Mink
ACAD-1013,Big Sea Mink
ACAD-1013,Sea Mink
ACAD-1014,American Mink
ACAD-1014,Mink
ACAD-1015,Walrus
ACAD-1016,Gray Seal
ACAD-1017,Common Seal
ACAD-1017,Hair Seal
ACAD-1017,Harbor Seal
ACAD-1018,Common Raccoon
ACAD-1018,Raccoon
ACAD-1019,Black Bear
ACAD-1020,Big Brown Bat
ACAD-1020,Common Brown Bat
ACAD-1021,Silver-Haired Bat
ACAD-1022,Eastern Red Bat
ACAD-1022,New York Bat
ACAD-1022,Northern Red Bat
ACAD-1022,Red Bat
ACAD-1023,Hoary Bat
ACAD-1024,Keen's Myotis
ACAD-1024,Northern Long-Eared Bat
ACAD-1024,Northern Myotis
ACAD-1024,Say's Bat
ACAD-1025,Eastern Small-Footed Myotis
ACAD-1025,Small-Footed Myotis
ACAD-1026,Little Brown Bat
ACAD-1026,Little Brown Myotis
ACAD-1027,Eastern Pipistrelle
ACAD-1027,Northern Georgian Bat
ACAD-1028,Snowshoe Hare
ACAD-1028,Varying Hare
ACAD-1029,American Beaver
ACAD-1029,Beaver
ACAD-1029,Canadian Beaver
ACAD-1030,Boreal Redback Vole
ACAD-1030,Red-Backed Mouse
ACAD-1030,Red-Backed Vole
ACAD-1030,Southern Red-Backed Vole
ACAD-1030,White-Mountain Red-Backed Mouse
ACAD-1031,Field Mouse
ACAD-1031,Meadow Mouse
ACAD-1031,Meadow Vole
ACAD-1032,Common Muskrat
ACAD-1032,Muskrat
ACAD-1032,Musquash
ACAD-1032,Water Rat
ACAD-1033,White-Footed Mouse
ACAD-1034,Deer Mouse
ACAD-1035,Cooper Lemming Mouse
ACAD-1035,Southern Bog Lemming
ACAD-1036,Woodland Jumping Mouse
ACAD-1037,Hudson Bay Jumping Mouse
ACAD-1037,Kangaroo Mouse
ACAD-1037,Meadow Jumping Mouse
ACAD-1038,Hedgehog
ACAD-1038,Porcupine
ACAD-1039,House Mouse
ACAD-1040,Brown Rat
ACAD-1040,Norway Rat
ACAD-1041,Glaucomys Sp.
ACAD-1042,Mearns Flying Squirrel
ACAD-1042,Northern Flying Squirrel
ACAD-1043,Southern Flying Squirrel
ACAD-1044,Groundhog
ACAD-1044,New England Woodchuck
ACAD-1044,Woodchuck
ACAD-1045,Eastern Gray Squirrel
ACAD-1045,Gray Squirrel
ACAD-1045,Northern Gray Squirrel
ACAD-1046,Northeastern Chipmunk
ACAD-1046,Striped Squirrel
